0,1,2
2020-04-03 23:16:41+00:00,Great resource for clinicians on real time patient level data. Lessons from around the world that can be crucial for clinicians dealing (or soon will) with COVID cases in India #covidindia @drharshvardhan @MoHFW_INDIA @IMAIndiaOrg @IndianMedAssn https://emupdates.com,hari_jayamohan
2020-04-03 23:16:25+00:00,Thai Muslims Stranded in India Seek Help after COVID-19 Clampdown https://www.benarnews.org/english/news/thai/thailand-coronavirus-04032020184503.html #Thailand #ThailandNews #COVID19Pandemic #covid19 #IndiaFightsCorona,BenarNews
2020-04-03 23:16:23+00:00,"Rest of the world: The biggest symptoms of #COVID19 are dry cough,fever and body aches. In #India: The biggest symptom of #COVID_19 is #Islamophobia. #TJKMKB #coronavirus #CoronaUpdatesInIndia",Aaapwala
2020-04-03 23:16:10+00:00,"India coronavirus COVID-19 cases register highest 24-hour spike; total 2547, deaths 62 https://postofasia.com/india-coronavirus-covid-19-circumstances-register-highest-24-hour-spike-complete-2547-deaths-62/",post_asia
2020-04-03 23:16:01+00:00,"Universal BCG vaccination programme saved India, Japan frm Covid 19. US, Spain discontinued BCG. Itlay never had it : NYIT study.",KamraJasdeep
2020-04-03 23:15:58+00:00,"The world over: Here are the daily Covid stats, here’s what we are doing about it, here’s a bail out package, here’s how long this will continue. India &amp; Moroni: let’s light a Diya and pray ",TheSoothsayer_
2020-04-03 23:15:57+00:00,"Rest of the world: The biggest symptoms of #COVID19 are dry cough,fever and body aches. In #India: The biggest symptom of #COVID_19 is #Islamophobia. #TJKMKB #coronavirus #CoronaUpdatesInIndia",Aaapwala
2020-04-03 23:15:23+00:00,"Rest of the world: The biggest symptoms of #COVID19 are dry cough,fever and body aches. In #India: The biggest symptom of #COVID_19 is #Islamophobia. #TJKMKB #coronavirus #CoronaUpdatesInIndia",Aaapwala
2020-04-03 23:15:08+00:00,Mega cash transfer in battle Covid-19 | India News – Times of India ,Busines65959783
2020-04-03 23:14:15+00:00,"திருட்டு தேச துரோக பயல்களா!துலுக்க அடிவருடிகள் . பாருடா துலுக்க காரோண வைரஸ் ஜிகாத்.இந்தியா டுடே ஓர் இடது சாரி பத்திரிகை.அது சொல்வதை பாருடா பொறுக்கிகளா . INDIA TODAY: At 2,600, India reports record coronavirus case spike, 647 Jamaat-linked Covid-19 patients in country |",RatnavelServai
